nome,link,pdf_link
ADI 170,https://jurisprudencia.stf.jus.br/pages/search/sjur403031/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749728410
ADI 2655,https://jurisprudencia.stf.jus.br/pages/search/sjur97218/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2655&classe=ADI
ADI 3601,https://jurisprudencia.stf.jus.br/pages/search/sjur164485/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3601&classe=ADI
ADI 1954,https://jurisprudencia.stf.jus.br/pages/search/sjur95928/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1954&classe=ADI
ADI 5624 MC-Ref,https://jurisprudencia.stf.jus.br/pages/search/sjur415929/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751504007
ADI 4610,https://jurisprudencia.stf.jus.br/pages/search/sjur417530/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751676295
ADI 1606,https://jurisprudencia.stf.jus.br/pages/search/sjur398757/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749226876
ADI 5158,https://jurisprudencia.stf.jus.br/pages/search/sjur398636/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749194483
ADI 3444,https://jurisprudencia.stf.jus.br/pages/search/sjur10026/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3444&classe=ADI
ADI 3813,https://jurisprudencia.stf.jus.br/pages/search/sjur301280/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=8255786
ADI 2802,https://jurisprudencia.stf.jus.br/pages/search/sjur96369/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2802&classe=ADI
ADI 5897,https://jurisprudencia.stf.jus.br/pages/search/sjur407726/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750423527
ADI 2670,https://jurisprudencia.stf.jus.br/pages/search/sjur95036/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2670&classe=ADI
ADI 4005 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur286474/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7343338
ADI 3774,https://jurisprudencia.stf.jus.br/pages/search/sjur410373/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750752286
ADI 4952 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur285745/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7302362
ADI 4169,https://jurisprudencia.stf.jus.br/pages/search/sjur393923/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748604546
ADI 4163 ED,https://jurisprudencia.stf.jus.br/pages/search/sjur245577/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=4690625
